"year","unitid","inst_name","state_name","years_after_entry","earnings_mean"
"2014","156295","Berea College","Kentucky","8","32100"
"2014","156356","Brescia University","Kentucky","10","48000"
"2014","156356","Brescia University","Kentucky","6","30800"
"2014","156356","Brescia University","Kentucky","8","35300"
"2014","156365","Campbellsville University","Kentucky","10","35400"
"2014","156365","Campbellsville University","Kentucky","6","28700"
"2014","156365","Campbellsville University","Kentucky","8","30500"
"2014","156408","Centre College","Kentucky","10","53800"
"2014","156408","Centre College","Kentucky","6","38500"
"2014","156408","Centre College","Kentucky","8","50100"
"2014","156417","Clear Creek Baptist Bible College","Kentucky","10","31000"
"2014","156417","Clear Creek Baptist Bible College","Kentucky","6","28900"
"2014","156417","Clear Creek Baptist Bible College","Kentucky","8","31300"
"2014","156541","University of the Cumberlands","Kentucky","10","38200"
"2014","156541","University of the Cumberlands","Kentucky","6","28500"
"2014","156541","University of the Cumberlands","Kentucky","8","35800"
"2014","156620","Eastern Kentucky University","Kentucky","10","39300"
"2014","156620","Eastern Kentucky University","Kentucky","6","32700"
"2014","156620","Eastern Kentucky University","Kentucky","8","36300"
"2014","156745","Georgetown College","Kentucky","10","50500"
"2014","156745","Georgetown College","Kentucky","6","32500"
"2014","156745","Georgetown College","Kentucky","8","39600"
"2014","157030","Kentucky Mountain Bible College","Kentucky","10","Suppressed data"
"2014","157030","Kentucky Mountain Bible College","Kentucky","6","Suppressed data"
"2014","157030","Kentucky Mountain Bible College","Kentucky","8","Suppressed data"
"2014","157058","Kentucky State University","Kentucky","10","31300"
"2014","157058","Kentucky State University","Kentucky","6","25600"
"2014","157058","Kentucky State University","Kentucky","8","28300"
"2014","157076","Kentucky Wesleyan College","Kentucky","10","41700"
"2014","157076","Kentucky Wesleyan College","Kentucky","6","30100"
"2014","157076","Kentucky Wesleyan College","Kentucky","8","35800"
"2014","157085","University of Kentucky","Kentucky","10","54000"
"2014","157085","University of Kentucky","Kentucky","6","43500"
"2014","157085","University of Kentucky","Kentucky","8","51700"
"2014","157100","Kentucky Christian University","Kentucky","10","36500"
"2014","157100","Kentucky Christian University","Kentucky","6","29900"
"2014","157100","Kentucky Christian University","Kentucky","8","32700"
"2014","157216","Lindsey Wilson College","Kentucky","10","31300"
"2014","157216","Lindsey Wilson College","Kentucky","6","25700"
"2014","157216","Lindsey Wilson College","Kentucky","8","28100"
"2014","157289","University of Louisville","Kentucky","10","48600"
"2014","157289","University of Louisville","Kentucky","6","38200"
"2014","157289","University of Louisville","Kentucky","8","42700"
"2014","157298","Louisville Presbyterian Theological Seminary","Kentucky","10","Suppressed data"
"2014","157298","Louisville Presbyterian Theological Seminary","Kentucky","6","Suppressed data"
"2014","157298","Louisville Presbyterian Theological Seminary","Kentucky","8","Suppressed data"
